case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp
case_1,Create Purchase Requisition,Kim Passa,2025-07-31 20:53:48.935471,2025-07-31 20:53:48.935471,2025-07-31 21:37:48.935471
case_2,Create Purchase Requisition,Fjodor Kowalski,2025-07-31 21:17:48.935471,2025-07-31 21:17:48.935471,2025-07-31 21:48:48.935471
case_3,Create Purchase Requisition,Penn Osterwalder,2025-07-31 21:43:48.935471,2025-07-31 21:43:48.935471,2025-07-31 22:11:48.935471
case_4,Create Purchase Requisition,Tesca Lobes,2025-07-31 21:51:48.935471,2025-07-31 21:51:48.935471,2025-07-31 22:43:48.935471
case_1,Analyze Purchase Requisition,Maris Freeman,2025-07-31 21:37:48.935471,2025-07-31 22:21:48.935471,2025-07-31 22:27:48.935471
case_2,Analyze Purchase Requisition,Heinz Gutschmidt,2025-07-31 21:48:48.935471,2025-08-01 00:33:48.935471,2025-08-01 00:36:48.935471
case_5,Create Purchase Requisition,Esmana Liubiata,2025-08-01 01:31:48.935471,2025-08-01 01:31:48.935471,2025-08-01 01:49:48.935471
case_5,Analyze Purchase Requisition,Francis Odell,2025-08-01 01:49:48.935471,2025-08-01 02:12:48.935471,2025-08-01 02:17:48.935471
case_3,Create Request for Quotation Requester,Immanuel Karagianni,2025-07-31 22:11:48.935471,2025-08-01 02:56:48.935471,2025-08-01 03:06:48.935471
case_3,Analyze Request for Quotation,Magdalena Predutta,2025-08-01 03:06:48.935471,2025-08-01 05:31:48.935471,2025-08-01 05:53:48.935471
case_4,Create Request for Quotation Requester Manager,Maris Freeman,2025-07-31 22:43:48.935471,2025-08-01 05:56:48.935471,2025-08-01 05:59:48.935471
case_6,Create Purchase Requisition,Esmana Liubiata,2025-08-01 06:15:48.935471,2025-08-01 06:15:48.935471,2025-08-01 10:08:48.935471
case_4,Analyze Request for Quotation,Magdalena Predutta,2025-08-01 05:59:48.935471,2025-08-01 10:02:48.935471,2025-08-01 10:23:48.935471
case_7,Create Purchase Requisition,Kim Passa,2025-08-01 11:29:48.935471,2025-08-01 11:29:48.935471,2025-08-01 13:22:48.935471
case_4,Send Request for Quotation to Supplier,Karel de Groot,2025-08-01 10:23:48.935471,2025-08-01 12:14:48.935471,2025-08-01 12:28:48.935471
case_5,Create Request for Quotation Requester Manager,Heinz Gutschmidt,2025-08-01 02:17:48.935471,2025-08-01 13:13:48.935471,2025-08-01 13:13:48.935471
case_2,Create Request for Quotation Requester Manager,Heinz Gutschmidt,2025-08-01 00:36:48.935471,2025-08-01 13:37:48.935471,2025-08-01 13:39:48.935471
case_2,Analyze Request for Quotation,Francois de Perrier,2025-08-01 13:39:48.935471,2025-08-01 15:31:48.935471,2025-08-01 16:05:48.935471
case_5,Analyze Request for Quotation,Magdalena Predutta,2025-08-01 13:13:48.935471,2025-08-01 18:12:48.935471,2025-08-01 18:20:48.935471
case_5,Amend Request for Quotation Requester,Kim Passa,2025-08-01 18:20:48.935471,2025-08-01 19:51:48.935471,2025-08-01 20:03:48.935471
case_8,Create Purchase Requisition,Penn Osterwalder,2025-08-01 20:13:48.935471,2025-08-01 20:13:48.935471,2025-08-01 21:10:48.935471
case_1,Create Request for Quotation Requester Manager,Francis Odell,2025-07-31 22:27:48.935471,2025-08-01 20:53:48.935471,2025-08-01 20:54:48.935471
case_2,Send Request for Quotation to Supplier,Karel de Groot,2025-08-01 16:05:48.935471,2025-08-01 21:43:48.935471,2025-08-01 22:01:48.935471
case_8,Analyze Purchase Requisition,Francis Odell,2025-08-01 21:10:48.935471,2025-08-01 23:20:48.935471,2025-08-01 23:28:48.935471
case_6,Analyze Purchase Requisition,Maris Freeman,2025-08-01 10:08:48.935471,2025-08-01 23:38:48.935471,2025-08-01 23:38:48.935471
case_7,Analyze Purchase Requisition,Maris Freeman,2025-08-01 13:22:48.935471,2025-08-01 23:52:48.935471,2025-08-01 23:58:48.935471
case_7,Create Request for Quotation Requester,Anne Olwada,2025-08-01 23:58:48.935471,2025-08-02 08:34:48.935471,2025-08-02 08:40:48.935471
case_2,Create Quotation comparison Map,Francois de Perrier,2025-08-01 22:01:48.935471,2025-08-02 10:01:48.935471,2025-08-02 13:11:48.935471
case_1,Analyze Request for Quotation,Francois de Perrier,2025-08-01 20:54:48.935471,2025-08-02 12:31:48.935471,2025-08-02 12:56:48.935471
case_6,Create Request for Quotation Requester Manager,Francis Odell,2025-08-01 23:38:48.935471,2025-08-02 12:53:48.935471,2025-08-02 12:54:48.935471
case_1,Send Request for Quotation to Supplier,Magdalena Predutta,2025-08-02 12:56:48.935471,2025-08-02 13:50:48.935471,2025-08-02 15:05:48.935471
case_7,Analyze Request for Quotation,Francois de Perrier,2025-08-02 08:40:48.935471,2025-08-02 15:24:48.935471,2025-08-02 15:39:48.935471
case_6,Analyze Request for Quotation,Magdalena Predutta,2025-08-02 12:54:48.935471,2025-08-02 15:29:48.935471,2025-08-02 15:54:48.935471
case_6,Amend Request for Quotation Requester,Miu Hanwan,2025-08-02 15:54:48.935471,2025-08-02 16:21:48.935471,2025-08-02 16:24:48.935471
case_5,Analyze Request for Quotation,Karel de Groot,2025-08-01 20:03:48.935471,2025-08-02 16:45:48.935471,2025-08-02 17:18:48.935471
case_8,Create Request for Quotation Requester Manager,Maris Freeman,2025-08-01 23:28:48.935471,2025-08-02 17:19:48.935471,2025-08-02 17:23:48.935471
case_5,Amend Request for Quotation Requester,Immanuel Karagianni,2025-08-02 17:18:48.935471,2025-08-02 17:49:48.935471,2025-08-02 17:57:48.935471
case_2,Analyze Quotation comparison Map,Alberto Duport,2025-08-02 13:11:48.935471,2025-08-02 20:31:48.935471,2025-08-02 20:46:48.935471
case_8,Analyze Request for Quotation,Magdalena Predutta,2025-08-02 17:23:48.935471,2025-08-02 21:30:48.935471,2025-08-02 21:34:48.935471
case_5,Analyze Request for Quotation,Magdalena Predutta,2025-08-02 17:57:48.935471,2025-08-02 21:42:48.935471,2025-08-02 21:56:48.935471
case_2,Choose best option,Immanuel Karagianni,2025-08-02 20:46:48.935471,2025-08-02 22:25:48.935471,2025-08-02 22:25:48.935471
case_7,Send Request for Quotation to Supplier,Karel de Groot,2025-08-02 15:39:48.935471,2025-08-03 00:19:48.935471,2025-08-03 00:39:48.935471
case_5,Send Request for Quotation to Supplier,Magdalena Predutta,2025-08-02 21:56:48.935471,2025-08-03 00:31:48.935471,2025-08-03 00:46:48.935471
case_2,Settle conditions with supplier,Magdalena Predutta,2025-08-02 22:25:48.935471,2025-08-03 00:56:48.935471,2025-08-03 11:08:48.935471
case_6,Analyze Request for Quotation,Magdalena Predutta,2025-08-02 16:24:48.935471,2025-08-03 01:32:48.935471,2025-08-03 01:45:48.935471
case_8,Send Request for Quotation to Supplier,Karel de Groot,2025-08-02 21:34:48.935471,2025-08-03 02:55:48.935471,2025-08-03 03:22:48.935471
case_1,Create Quotation comparison Map,Francois de Perrier,2025-08-02 15:05:48.935471,2025-08-03 03:32:48.935471,2025-08-03 05:54:48.935471
case_7,Create Quotation comparison Map,Francois de Perrier,2025-08-03 00:39:48.935471,2025-08-03 03:36:48.935471,2025-08-03 07:32:48.935471
case_9,Create Purchase Requisition,Penn Osterwalder,2025-08-03 03:54:48.935471,2025-08-03 03:54:48.935471,2025-08-03 06:02:48.935471
case_5,Create Quotation comparison Map,Francois de Perrier,2025-08-03 00:46:48.935471,2025-08-03 04:28:48.935471,2025-08-03 05:42:48.935471
case_1,Analyze Quotation comparison Map,Fjodor Kowalski,2025-08-03 05:54:48.935471,2025-08-03 06:12:48.935471,2025-08-03 06:42:48.935471
case_1,Choose best option,Esmana Liubiata,2025-08-03 06:42:48.935471,2025-08-03 07:19:48.935471,2025-08-03 07:19:48.935471
case_8,Create Quotation comparison Map,Karel de Groot,2025-08-03 03:22:48.935471,2025-08-03 08:00:48.935471,2025-08-03 12:22:48.935471
case_7,Analyze Quotation comparison Map,Miu Hanwan,2025-08-03 07:32:48.935471,2025-08-03 08:43:48.935471,2025-08-03 10:09:48.935471
case_9,Create Request for Quotation Requester,Esmana Liubiata,2025-08-03 06:02:48.935471,2025-08-03 09:53:48.935471,2025-08-03 12:02:48.935471
case_5,Analyze Quotation comparison Map,Anne Olwada,2025-08-03 05:42:48.935471,2025-08-03 10:10:48.935471,2025-08-03 10:36:48.935471
case_10,Create Purchase Requisition,Fjodor Kowalski,2025-08-03 11:17:48.935471,2025-08-03 11:17:48.935471,2025-08-03 13:35:48.935471
case_11,Create Purchase Requisition,Kim Passa,2025-08-03 11:33:48.935471,2025-08-03 11:33:48.935471,2025-08-03 13:15:48.935471
case_10,Create Request for Quotation Requester,Anne Olwada,2025-08-03 13:35:48.935471,2025-08-03 13:48:48.935471,2025-08-03 13:59:48.935471
case_8,Analyze Quotation comparison Map,Tesca Lobes,2025-08-03 12:22:48.935471,2025-08-03 14:23:48.935471,2025-08-03 18:17:48.935471
case_10,Analyze Request for Quotation,Karel de Groot,2025-08-03 13:59:48.935471,2025-08-03 14:32:48.935471,2025-08-03 14:40:48.935471
case_10,Amend Request for Quotation Requester,Anne Olwada,2025-08-03 14:40:48.935471,2025-08-03 14:40:48.935471,2025-08-03 17:11:48.935471
case_5,Choose best option,Immanuel Karagianni,2025-08-03 10:36:48.935471,2025-08-03 15:51:48.935471,2025-08-03 15:51:48.935471
case_12,Create Purchase Requisition,Miu Hanwan,2025-08-03 16:01:48.935471,2025-08-03 16:01:48.935471,2025-08-03 17:29:48.935471
case_7,Choose best option,Kim Passa,2025-08-03 10:09:48.935471,2025-08-03 16:38:48.935471,2025-08-03 16:38:48.935471
case_2,Create Purchase Order,Francois de Perrier,2025-08-03 11:08:48.935471,2025-08-03 20:11:48.935471,2025-08-03 20:22:48.935471
case_8,Choose best option,Penn Osterwalder,2025-08-03 18:17:48.935471,2025-08-03 20:39:48.935471,2025-08-03 20:39:48.935471
case_1,Settle conditions with supplier,Francois de Perrier,2025-08-03 07:19:48.935471,2025-08-03 21:19:48.935471,2025-08-04 05:06:48.935471
case_11,Create Request for Quotation Requester Manager,Heinz Gutschmidt,2025-08-03 13:15:48.935471,2025-08-04 00:18:48.935471,2025-08-04 00:19:48.935471
case_7,Settle conditions with supplier,Francois de Perrier,2025-08-03 16:38:48.935471,2025-08-04 02:42:48.935471,2025-08-04 11:52:48.935471
case_13,Create Purchase Requisition,Fjodor Kowalski,2025-08-04 04:51:48.935471,2025-08-04 04:51:48.935471,2025-08-04 05:11:48.935471
case_9,Analyze Request for Quotation,Magdalena Predutta,2025-08-03 12:02:48.935471,2025-08-04 05:41:48.935471,2025-08-04 05:52:48.935471
case_5,Settle conditions with supplier,Magdalena Predutta,2025-08-03 15:51:48.935471,2025-08-04 05:41:48.935471,2025-08-04 09:21:48.935471
case_12,Create Request for Quotation Requester Manager,Heinz Gutschmidt,2025-08-03 17:29:48.935471,2025-08-04 08:54:48.935471,2025-08-04 08:55:48.935471
case_9,Amend Request for Quotation Requester,Tesca Lobes,2025-08-04 05:52:48.935471,2025-08-04 08:59:48.935471,2025-08-04 09:09:48.935471
case_1,Create Purchase Order,Magdalena Predutta,2025-08-04 05:06:48.935471,2025-08-04 09:09:48.935471,2025-08-04 09:18:48.935471
case_6,Send Request for Quotation to Supplier,Francois de Perrier,2025-08-03 01:45:48.935471,2025-08-04 10:30:48.935471,2025-08-04 11:19:48.935471
case_12,Analyze Request for Quotation,Francois de Perrier,2025-08-04 08:55:48.935471,2025-08-04 14:39:48.935471,2025-08-04 16:01:48.935471
case_9,Analyze Request for Quotation,Magdalena Predutta,2025-08-04 09:09:48.935471,2025-08-04 17:01:48.935471,2025-08-04 17:34:48.935471
case_11,Analyze Request for Quotation,Karel de Groot,2025-08-04 00:19:48.935471,2025-08-04 21:01:48.935471,2025-08-04 21:23:48.935471
case_11,Amend Request for Quotation Requester,Esmana Liubiata,2025-08-04 21:23:48.935471,2025-08-04 22:57:48.935471,2025-08-04 23:07:48.935471
case_9,Amend Request for Quotation Requester,Miu Hanwan,2025-08-04 17:34:48.935471,2025-08-04 23:25:48.935471,2025-08-04 23:31:48.935471
case_11,Analyze Request for Quotation,Karel de Groot,2025-08-04 23:07:48.935471,2025-08-04 23:31:48.935471,2025-08-04 23:42:48.935471
case_10,Analyze Request for Quotation,Karel de Groot,2025-08-03 17:11:48.935471,2025-08-05 00:18:48.935471,2025-08-05 00:43:48.935471
case_13,Create Request for Quotation Requester Manager,Heinz Gutschmidt,2025-08-04 05:11:48.935471,2025-08-05 01:39:48.935471,2025-08-05 01:42:48.935471
case_10,Amend Request for Quotation Requester,Kim Passa,2025-08-05 00:43:48.935471,2025-08-05 02:20:48.935471,2025-08-05 02:31:48.935471
case_13,Analyze Request for Quotation,Magdalena Predutta,2025-08-05 01:42:48.935471,2025-08-05 03:12:48.935471,2025-08-05 03:34:48.935471
case_4,Create Quotation comparison Map,Karel de Groot,2025-08-01 12:28:48.935471,2025-08-05 04:12:48.935471,2025-08-05 04:35:48.935471
case_11,Amend Request for Quotation Requester,Nico Ojenbeer,2025-08-04 23:42:48.935471,2025-08-05 04:26:48.935471,2025-08-05 04:41:48.935471
case_4,Analyze Quotation comparison Map,Tesca Lobes,2025-08-05 04:35:48.935471,2025-08-05 05:44:48.935471,2025-08-05 05:56:48.935471
case_5,Create Purchase Order,Karel de Groot,2025-08-04 09:21:48.935471,2025-08-05 06:03:48.935471,2025-08-05 06:12:48.935471
case_7,Create Purchase Order,Magdalena Predutta,2025-08-04 11:52:48.935471,2025-08-05 07:39:48.935471,2025-08-05 07:45:48.935471
case_4,Choose best option,Penn Osterwalder,2025-08-05 05:56:48.935471,2025-08-05 07:41:48.935471,2025-08-05 07:41:48.935471
case_6,Create Quotation comparison Map,Karel de Groot,2025-08-04 11:19:48.935471,2025-08-05 09:31:48.935471,2025-08-05 14:09:48.935471
case_10,Analyze Request for Quotation,Francois de Perrier,2025-08-05 02:31:48.935471,2025-08-05 09:34:48.935471,2025-08-05 09:55:48.935471
case_8,Settle conditions with supplier,Magdalena Predutta,2025-08-03 20:39:48.935471,2025-08-05 12:30:48.935471,2025-08-05 17:15:48.935471
case_13,Send Request for Quotation to Supplier,Magdalena Predutta,2025-08-05 03:34:48.935471,2025-08-05 13:55:48.935471,2025-08-05 14:19:48.935471
case_6,Analyze Quotation comparison Map,Kim Passa,2025-08-05 14:09:48.935471,2025-08-05 14:32:48.935471,2025-08-05 14:39:48.935471
case_11,Analyze Request for Quotation,Magdalena Predutta,2025-08-05 04:41:48.935471,2025-08-05 15:45:48.935471,2025-08-05 15:53:48.935471
case_12,Send Request for Quotation to Supplier,Magdalena Predutta,2025-08-04 16:01:48.935471,2025-08-05 16:44:48.935471,2025-08-05 16:54:48.935471
case_1,Confirm Purchase Order,Esmeralda Clay,2025-08-04 09:18:48.935471,2025-08-05 17:27:48.935471,2025-08-05 17:46:48.935471
case_14,Create Purchase Requisition,Miu Hanwan,2025-08-05 18:03:48.935471,2025-08-05 18:03:48.935471,2025-08-05 18:03:48.935471
case_11,Amend Request for Quotation Requester,Alberto Duport,2025-08-05 15:53:48.935471,2025-08-05 19:14:48.935471,2025-08-05 19:25:48.935471
case_6,Choose best option,Fjodor Kowalski,2025-08-05 14:39:48.935471,2025-08-05 20:52:48.935471,2025-08-05 20:52:48.935471
case_10,Send Request for Quotation to Supplier,Magdalena Predutta,2025-08-05 09:55:48.935471,2025-08-05 23:00:48.935471,2025-08-05 23:49:48.935471
case_15,Create Purchase Requisition,Penn Osterwalder,2025-08-05 23:19:48.935471,2025-08-05 23:19:48.935471,2025-08-06 00:52:48.935471
case_16,Create Purchase Requisition,Tesca Lobes,2025-08-05 23:31:48.935471,2025-08-05 23:31:48.935471,2025-08-05 23:31:48.935471
case_11,Analyze Request for Quotation,Karel de Groot,2025-08-05 19:25:48.935471,2025-08-06 00:01:48.935471,2025-08-06 00:31:48.935471
case_4,Settle conditions with supplier,Karel de Groot,2025-08-05 07:41:48.935471,2025-08-06 01:46:48.935471,2025-08-06 09:31:48.935471
case_16,Create Request for Quotation Requester Manager,Francis Odell,2025-08-05 23:31:48.935471,2025-08-06 04:30:48.935471,2025-08-06 04:31:48.935471
case_10,Create Quotation comparison Map,Magdalena Predutta,2025-08-05 23:49:48.935471,2025-08-06 04:48:48.935471,2025-08-06 10:18:48.935471
case_17,Create Purchase Requisition,Tesca Lobes,2025-08-06 05:18:48.935471,2025-08-06 05:18:48.935471,2025-08-06 05:21:48.935471
case_8,Create Purchase Order,Magdalena Predutta,2025-08-05 17:15:48.935471,2025-08-06 09:02:48.935471,2025-08-06 09:11:48.935471
